city,year,quarter,temp_mean_c,temp_min_c,temp_max_c,rainy_days,rainy_day_frac
Galați,2025,Q2,17.087362637362638,-0.5,34.6,39,0.42857142857142855
Galați,2025,Q3,23.292391304347827,7.6,37.8,20,0.21739130434782608
Galați,2025,Q4,11.74,5.6,18.3,13,0.8666666666666667
Iași,2023,Q1,4.4688888888888885,-16.0,23.3,52,0.5777777777777777
Iași,2023,Q2,15.142307692307693,-2.2,31.7,55,0.6043956043956044
Iași,2023,Q3,23.02771739130435,11.1,37.7,41,0.44565217391304346
Iași,2023,Q4,8.709782608695651,-7.1,31.8,42,0.45652173913043476
Iași,2024,Q1,4.655494505494505,-19.6,26.2,49,0.5384615384615384
Iași,2024,Q2,17.83131868131868,3.0,33.0,39,0.42857142857142855
Iași,2024,Q3,23.133152173913043,7.1,38.0,38,0.41304347826086957
Iași,2024,Q4,6.582065217391304,-5.2,24.6,37,0.40217391304347827
Iași,2025,Q1,4.5616666666666665,-9.1,22.5,27,0.3
Iași,2025,Q2,15.557692307692308,-2.3,31.4,46,0.5054945054945055
Iași,2025,Q3,21.196195652173913,3.4,35.7,31,0.33695652173913043
Iași,2025,Q4,10.306666666666667,2.9,16.6,15,1.0
Oradea,2023,Q1,5.170555555555556,-12.1,20.5,50,0.5555555555555556
Oradea,2023,Q2,15.373626373626374,-0.2,32.2,66,0.7252747252747253
Oradea,2023,Q3,22.86902173913043,12.0,36.2,44,0.4782608695652174
Oradea,2023,Q4,8.939130434782609,-4.9,25.8,49,0.532608695652174
Oradea,2024,Q1,6.960439560439561,-6.0,25.1,54,0.5934065934065934
Oradea,2024,Q2,18.21043956043956,2.2,34.2,52,0.5714285714285714
Oradea,2024,Q3,23.18913043478261,8.1,37.2,34,0.3695652173913043
Oradea,2024,Q4,6.673913043478261,-4.2,23.3,31,0.33695652173913043
Oradea,2025,Q1,4.972222222222222,-8.2,20.2,41,0.45555555555555555
Oradea,2025,Q2,16.815384615384616,-3.5,34.9,43,0.4725274725274725
Oradea,2025,Q3,22.384239130434782,4.7,37.6,43,0.4673913043478261
Oradea,2025,Q4,10.483333333333333,3.8,17.3,8,0.5333333333333333
Ploiești,2023,Q1,5.076666666666666,-9.2,20.8,40,0.4444444444444444
Ploiești,2023,Q2,15.794505494505493,1.3,32.0,62,0.6813186813186813
Ploiești,2023,Q3,23.591847826086955,11.5,35.1,38,0.41304347826086957
Ploiești,2023,Q4,9.519021739130435,-3.5,29.5,32,0.34782608695652173
Ploiești,2024,Q1,5.743956043956045,-9.4,26.2,34,0.37362637362637363
Ploiești,2024,Q2,18.6489010989011,3.5,37.7,52,0.5714285714285714
Ploiești,2024,Q3,24.28641304347826,9.0,38.6,35,0.3804347826086957
Ploiești,2024,Q4,7.21304347826087,-3.9,26.5,34,0.3695652173913043
Ploiești,2025,Q1,4.1627777777777775,-13.2,24.1,34,0.37777777777777777
Ploiești,2025,Q2,16.27307692307692,-3.2,35.4,52,0.5714285714285714
Ploiești,2025,Q3,22.587500000000002,7.1,38.4,26,0.2826086956521739
Ploiești,2025,Q4,11.47,5.5,19.1,12,0.8
Sibiu,2023,Q1,3.716111111111111,-16.4,18.8,54,0.6
Sibiu,2023,Q2,13.766483516483516,-1.1,29.6,70,0.7692307692307693
Sibiu,2023,Q3,20.67771739130435,10.0,33.2,52,0.5652173913043478
Sibiu,2023,Q4,7.613043478260869,-5.0,27.7,45,0.4891304347826087
Sibiu,2024,Q1,5.258791208791209,-8.7,25.9,42,0.46153846153846156
Sibiu,2024,Q2,16.419780219780222,0.7,33.0,55,0.6043956043956044
Sibiu,2024,Q3,21.319021739130434,7.1,35.5,41,0.44565217391304346
Sibiu,2024,Q4,5.719565217391305,-8.3,23.5,33,0.358695652173913
Sibiu,2025,Q1,3.4944444444444445,-9.5,23.8,34,0.37777777777777777
Sibiu,2025,Q2,14.974725274725275,-4.0,33.4,54,0.5934065934065934
Sibiu,2025,Q3,20.44728260869565,5.8,36.0,45,0.4891304347826087
Sibiu,2025,Q4,9.233333333333333,2.9,15.9,15,1.0
Timișoara,2023,Q1,5.5311111111111115,-7.2,21.4,48,0.5333333333333333
Timișoara,2023,Q2,15.456593406593406,-0.4,32.5,73,0.8021978021978022
Timișoara,2023,Q3,23.28369565217391,10.4,36.7,46,0.5
Timișoara,2023,Q4,9.392391304347827,-5.9,26.6,53,0.5760869565217391
Timișoara,2024,Q1,6.97967032967033,-8.1,25.9,50,0.5494505494505495
Timișoara,2024,Q2,18.725824175824176,0.9,35.8,52,0.5714285714285714
Timișoara,2024,Q3,24.26358695652174,7.6,39.4,32,0.34782608695652173
Timișoara,2024,Q4,7.086413043478261,-4.6,25.8,31,0.33695652173913043
Timișoara,2025,Q1,5.204444444444444,-8.0,21.5,33,0.36666666666666664
Timișoara,2025,Q2,16.82087912087912,-3.9,34.9,45,0.4945054945054945
Timișoara,2025,Q3,22.946739130434782,6.6,40.5,36,0.391304347826087
Timișoara,2025,Q4,11.213333333333333,5.1,18.7,10,0.6666666666666666
