city,year,month,temp_mean_c,temp_min_c,temp_max_c,rainy_days,rainy_day_frac
Galați,2024,9,20.30666666666667,10.2,33.2,14,0.4666666666666667
Galați,2024,10,12.89516129032258,1.1,25.5,6,0.1935483870967742
Galați,2024,11,5.7,-2.1,19.2,9,0.3
Galați,2024,12,4.206451612903226,-1.9,12.1,17,0.5483870967741935
Galați,2025,1,4.740322580645161,-4.2,15.2,7,0.22580645161290322
Galați,2025,2,-0.11428571428571425,-8.7,10.5,6,0.21428571428571427
Galați,2025,3,10.08548387096774,-1.9,23.5,16,0.5161290322580645
Galați,2025,4,12.051666666666668,-0.5,25.9,13,0.43333333333333335
Galați,2025,5,15.91451612903226,6.1,28.4,19,0.6129032258064516
Galați,2025,6,23.335,14.2,34.6,7,0.23333333333333334
Galați,2025,7,26.011290322580646,16.4,37.8,8,0.25806451612903225
Galați,2025,8,24.283870967741933,11.7,34.5,4,0.12903225806451613
Galați,2025,9,19.458333333333332,7.6,32.1,8,0.26666666666666666
Galați,2025,10,11.74,5.6,18.3,13,0.8666666666666667
Iași,2023,1,3.6887096774193546,-10.9,16.5,21,0.6774193548387096
Iași,2023,2,2.1839285714285714,-16.0,16.6,19,0.6785714285714286
Iași,2023,3,7.312903225806451,-3.6,23.3,12,0.3870967741935484
Iași,2023,4,8.745000000000001,-2.2,19.0,23,0.7666666666666667
Iași,2023,5,15.91451612903226,4.5,26.2,15,0.4838709677419355
Iași,2023,6,20.741666666666667,10.6,31.7,17,0.5666666666666667
Iași,2023,7,23.541935483870965,14.0,35.1,21,0.6774193548387096
Iași,2023,8,24.950000000000003,12.9,37.7,12,0.3870967741935484
Iași,2023,9,20.509999999999998,11.1,30.9,8,0.26666666666666666
Iași,2023,10,15.461290322580645,1.4,31.8,6,0.1935483870967742
Iași,2023,11,7.255,-4.3,19.2,20,0.6666666666666666
Iași,2023,12,3.366129032258064,-7.1,15.3,16,0.5161290322580645
Iași,2024,1,-0.65,-19.6,13.1,19,0.6129032258064516
Iași,2024,2,7.281034482758621,-6.2,18.2,14,0.4827586206896552
Iași,2024,3,7.504838709677419,-3.6,26.2,16,0.5161290322580645
Iași,2024,4,14.351666666666667,3.0,28.5,16,0.5333333333333333
Iași,2024,5,16.40806451612903,5.9,28.7,12,0.3870967741935484
Iași,2024,6,22.78166666666667,14.8,33.0,11,0.36666666666666664
Iași,2024,7,25.238709677419354,14.4,38.0,12,0.3870967741935484
Iași,2024,8,24.69677419354839,14.7,34.6,14,0.45161290322580644
Iași,2024,9,19.341666666666665,7.1,31.5,12,0.4
Iași,2024,10,11.817741935483872,-0.7,24.6,10,0.3225806451612903
Iași,2024,11,4.62,-2.5,19.0,11,0.36666666666666664
Iași,2024,12,3.2451612903225806,-5.2,13.3,16,0.5161290322580645
Iași,2025,1,4.696774193548387,-6.3,17.2,8,0.25806451612903225
Iași,2025,2,-0.9839285714285714,-9.1,11.2,8,0.2857142857142857
